# Time-averaged data for fix all_msd
# TimeStep c_msd1[4]
0 2.04939e-29
100 0.15171
200 0.241402
300 0.338019
400 0.438487
500 0.565214
600 0.663137
700 0.79328
800 0.960445
900 1.05229
1000 1.12539
1100 1.25827
1200 1.31746
1300 1.40299
1400 1.50298
1500 1.61056
1600 1.70746
1700 1.76302
1800 1.77845
1900 1.82016
2000 1.85703
2100 1.97902
2200 1.97979
2300 2.01127
2400 2.02411
2500 2.06054
2600 2.03918
2700 2.12787
2800 2.14977
2900 2.22842
3000 2.30461
3100 2.38699
3200 2.40692
3300 2.47183
3400 2.52372
3500 2.59017
3600 2.62299
3700 2.58561
3800 2.60302
3900 2.67243
4000 2.63512
4100 2.63683
4200 2.63182
4300 2.68536
4400 2.69024
4500 2.78797
4600 2.8341
4700 2.77638
4800 2.88575
4900 2.91778
5000 2.95014
5100 2.94357
5200 3.03662
5300 3.03942
5400 3.09282
5500 3.16151
5600 3.16308
5700 3.20064
5800 3.28107
5900 3.25344
6000 3.29203
6100 3.28956
6200 3.34084
6300 3.42045
6400 3.39369
6500 3.48176
6600 3.41454
6700 3.42703
6800 3.47598
6900 3.55455
7000 3.50069
7100 3.52412
7200 3.56819
7300 3.52207
7400 3.56635
7500 3.63625
7600 3.63325
7700 3.73365
7800 3.76169
7900 3.73783
8000 3.80418
8100 3.81889
8200 3.79186
8300 3.84621
8400 3.85458
8500 3.89294
8600 3.90456
8700 3.93367
8800 3.87972
8900 3.85321
9000 4.03082
9100 3.95844
9200 3.98468
9300 3.9733
9400 3.92544
9500 4.03817
9600 4.05618
9700 3.98347
9800 4.06434
9900 4.11584
10000 4.08573
10100 4.13741
10200 4.14329
10300 4.1399
10400 4.10741
10500 4.10242
10600 4.24473
10700 4.24853
10800 4.16207
10900 4.19943
11000 4.21566
11100 4.23218
11200 4.25997
11300 4.31186
11400 4.29166
11500 4.27563
11600 4.31525
11700 4.3494
11800 4.3762
11900 4.54734
12000 4.45694
12100 4.38759
12200 4.43618
12300 4.46495
12400 4.43029
12500 4.48007
12600 4.51391
12700 4.57954
12800 4.59759
12900 4.60144
13000 4.66864
13100 4.68625
13200 4.67703
13300 4.61388
13400 4.74376
13500 4.74443
13600 4.71425
13700 4.71184
13800 4.80904
13900 4.78277
14000 4.74426
14100 4.75703
14200 4.72479
14300 4.68934
14400 4.75713
