# Time-averaged data for fix all_msd
# TimeStep c_msd1[4]
0 2.04939e-29
100 0.439176
200 0.673452
300 0.958215
400 1.26033
500 1.56337
600 1.9418
700 2.3677
800 2.77339
900 3.32999
1000 3.92296
1100 4.39109
1200 4.79598
1300 5.15982
1400 5.54133
1500 5.90264
1600 6.38651
1700 6.73387
1800 7.11366
1900 7.30144
2000 7.77703
2100 8.33052
2200 8.88334
2300 9.26093
2400 9.71731
2500 10.2423
2600 10.4201
2700 10.8153
2800 11.2838
2900 11.6516
3000 11.8202
3100 12.2021
3200 12.6656
3300 13.1956
3400 13.5695
3500 13.9796
3600 14.1493
3700 14.3323
3800 14.8905
3900 15.2848
4000 15.3046
4100 15.8085
4200 16.2692
4300 16.6611
4400 17.0639
4500 17.2842
4600 17.6021
4700 17.7975
4800 18.0575
4900 18.4437
5000 18.8304
5100 18.9764
5200 19.305
5300 19.4985
5400 20.1127
5500 20.4126
5600 20.5936
5700 20.7331
5800 20.9388
5900 21.3881
6000 21.803
6100 22.2515
6200 22.7611
6300 22.9672
6400 23.3901
6500 23.7682
6600 24.2399
6700 24.8213
6800 25.4688
6900 25.9259
7000 26.3035
7100 26.5315
7200 26.684
7300 27.0229
7400 27.8753
7500 28.5095
7600 28.6652
7700 28.9489
7800 29.4256
7900 29.867
8000 30.3407
8100 30.8315
8200 30.9255
8300 31.4141
8400 31.9263
8500 32.266
8600 32.6192
8700 32.7675
8800 33.3502
8900 33.7255
9000 34.0136
9100 34.3741
9200 34.5705
9300 35.005
9400 35.4716
9500 35.7642
9600 36.1251
9700 36.7464
9800 37.1229
9900 37.4126
10000 37.4773
10100 37.4701
10200 37.6719
10300 37.9257
10400 38.4017
10500 38.9274
10600 39.2187
10700 39.5791
10800 39.7332
10900 40.5407
11000 40.7128
11100 40.7525
11200 40.9163
11300 41.4473
11400 41.5814
11500 41.8568
11600 42.4407
11700 43.014
11800 43.2532
11900 43.9466
12000 43.8237
12100 44.474
12200 44.7992
12300 44.9817
12400 45.1284
12500 45.7299
12600 46.488
12700 46.8985
12800 47.1261
12900 47.6311
13000 47.8848
13100 48.2864
13200 48.3663
13300 48.9353
13400 49.2669
13500 49.8796
13600 50.117
13700 50.295
13800 50.7675
13900 50.6555
14000 51.2647
14100 51.8396
14200 52.1889
14300 52.1443
14400 52.4012
14500 52.6382
14600 52.9764
14700 53.4792
14800 54.2762
14900 54.7467
15000 54.9217
15100 55.3534
15200 55.6114
15300 56.0065
15400 56.4552
15500 56.6889
15600 57.0177
15700 57.1398
15800 57.2329
15900 57.4536
16000 58.1219
16100 58.0215
16200 58.2522
16300 58.5524
16400 59.2518
16500 60.0509
16600 60.6475
16700 60.7736
16800 61.4258
16900 61.4808
17000 61.9808
17100 62.6274
17200 62.6932
17300 62.9211
17400 63.3337
17500 63.5809
17600 63.918
17700 64.908
17800 65.0393
17900 65.1654
18000 65.3099
18100 65.9205
18200 65.8111
18300 66.3342
18400 67.231
18500 67.5222
18600 67.9852
18700 68.2147
18800 68.0116
18900 68.4629
19000 68.8564
19100 69.3511
19200 69.869
19300 70.5163
19400 71.2118
19500 72.0179
19600 71.8838
19700 72.6274
19800 72.6821
19900 72.5015
20000 72.8674
20100 73.3797
20200 74.3978
20300 74.8693
20400 74.7961
20500 75.1464
20600 75.3397
20700 76.3045
20800 76.5525
20900 76.6338
21000 77.1088
21100 76.905
21200 76.8573
21300 77.4196
21400 77.9409
21500 78.2477
21600 78.4626
21700 78.521
21800 78.8265
21900 79.6811
22000 79.7874
22100 80.3621
22200 81.0225
22300 81.3117
22400 81.4614
22500 81.9373
22600 82.4079
22700 83.2988
22800 83.788
22900 84.6079
23000 85.1789
23100 85.345
23200 85.5591
23300 86.6068
23400 86.7981
23500 86.8752
23600 87.4462
23700 88.0946
23800 88.22
23900 88.4038
24000 88.7646
24100 88.7564
24200 89.314
24300 89.8971
24400 90.2581
24500 90.4715
24600 91.2465
24700 91.6286
24800 91.979
24900 92.3366
25000 92.8716
25100 93.0577
25200 93.4833
25300 94.1637
25400 94.5663
25500 94.7959
25600 95.2726
25700 95.8318
25800 96.7428
25900 97.0833
26000 96.8486
26100 97.3081
26200 97.4158
26300 97.6635
26400 98.4118
26500 98.6692
26600 98.9805
26700 98.8951
26800 99.8823
26900 100.196
27000 100.408
27100 100.709
27200 101.239
27300 102.272
27400 102.352
27500 103.411
27600 103.41
27700 103.4
27800 102.939
27900 103.926
28000 104.303
28100 104.511
28200 104.948
28300 105.407
28400 105.772
28500 105.852
28600 106.789
28700 107.42
28800 107.581
28900 108.048
29000 108.138
29100 108.543
29200 108.782
29300 109.373
29400 109.975
29500 110.456
29600 110.691
29700 110.583
29800 110.822
29900 111.305
30000 112.051
30100 112.801
30200 113.337
30300 113.407
30400 114.158
30500 114.223
30600 114.174
30700 114.667
30800 115.518
30900 116.033
31000 116.371
31100 116.659
31200 116.549
31300 117.09
31400 116.801
31500 116.558
31600 116.733
31700 116.73
31800 116.775
31900 117.733
32000 118.658
32100 118.611
32200 118.79
32300 119.752
32400 119.974
32500 120.095
32600 120.541
32700 121.161
32800 122.089
32900 122.271
33000 122.354
33100 122.745
33200 123.757
33300 123.774
33400 124.336
33500 124.498
33600 124.845
33700 125.468
33800 125.977
33900 126.559
34000 126.209
34100 126.923
34200 127.391
34300 128.362
34400 128.05
34500 128.46
34600 128.806
34700 129.488
34800 129.874
34900 130.323
35000 130.354
35100 130.445
35200 130.883
35300 131.33
35400 131.731
35500 131.837
35600 131.851
35700 132.823
35800 132.536
35900 132.538
36000 132.952
36100 133.573
36200 133.801
36300 134.592
36400 135.341
36500 135.448
36600 136.126
36700 135.917
36800 135.947
36900 135.853
37000 136.428
37100 136.71
37200 137.073
37300 137.508
37400 137.948
37500 138.759
37600 138.82
37700 139.463
37800 140.227
37900 140.244
38000 140.411
38100 140.744
38200 141.464
38300 142.364
38400 143.028
38500 144.063
38600 144.629
38700 144.676
38800 145.104
38900 145.02
39000 145.43
39100 145.788
39200 146.499
39300 146.687
39400 146.919
39500 147.363
39600 147.562
39700 147.146
39800 148.322
39900 147.897
40000 148.136
40100 148.332
40200 149.091
40300 149.217
40400 149.926
40500 149.627
40600 149.865
40700 150.663
40800 151.124
40900 151.421
41000 151.145
41100 151.38
41200 151.411
41300 151.51
41400 152.145
41500 152.49
41600 153.038
41700 153.348
41800 153.616
41900 153.502
42000 153.615
42100 153.84
42200 154.133
42300 155.095
42400 155.25
42500 155.981
42600 156.396
42700 156.567
42800 156.993
42900 156.962
43000 157.43
43100 157.976
43200 158.355
43300 158.378
43400 159.314
43500 160.223
43600 160.174
43700 160.784
43800 161.735
43900 161.632
44000 162.429
44100 162.15
44200 162.695
44300 163.117
44400 163.295
44500 163.071
44600 164.174
44700 164.06
44800 165.067
44900 165.012
45000 165.435
45100 165.969
45200 165.821
45300 166.074
45400 165.882
45500 166.622
45600 166.957
45700 167.801
45800 168.213
45900 168.941
46000 168.764
46100 170.037
46200 170.434
46300 170.508
46400 170.862
46500 170.83
46600 171.213
46700 170.982
46800 172.429
46900 172.986
47000 172.959
47100 173.464
47200 174.474
47300 174.97
47400 175.013
47500 175.804
47600 176.292
47700 176.346
47800 177.004
47900 177.666
48000 178.025
48100 178.862
48200 178.972
48300 178.937
48400 179.183
48500 178.951
48600 179.47
48700 179.304
48800 179.977
48900 180.339
49000 180.144
49100 180.895
49200 181.223
49300 182.185
49400 182.818
49500 183.295
49600 183.95
49700 183.913
49800 184.654
49900 185.047
50000 185.505
50100 186.188
50200 186.59
50300 186.687
50400 187.485
50500 187.713
50600 187.521
50700 188.093
50800 188.405
50900 187.811
51000 188.449
51100 189.262
51200 190.189
51300 189.943
51400 190.855
51500 191.074
51600 191.069
51700 191.529
51800 192.109
51900 193.329
52000 193.423
52100 193.471
52200 194.014
52300 194.516
52400 194.96
52500 194.922
52600 194.792
52700 195.394
52800 195.956
52900 196.356
53000 196.441
53100 196.049
53200 197.158
53300 197.242
53400 197.467
53500 197.671
53600 198.163
53700 198.259
53800 198.646
53900 198.647
54000 198.6
54100 199.699
54200 199.432
54300 200.293
54400 200.905
54500 200.886
54600 201.35
54700 201.885
54800 202.607
54900 202.64
55000 204.013
55100 204.519
55200 204.925
55300 204.807
55400 205.013
55500 206.789
55600 207.054
55700 207.082
55800 207.758
55900 207.897
56000 208.829
56100 208.91
56200 210.049
56300 210.578
56400 211.553
56500 211.382
56600 212.588
56700 212.911
56800 213.109
56900 212.938
57000 214.169
57100 214.166
57200 214.715
57300 215.159
57400 214.926
57500 215.433
57600 215.807
57700 216.062
57800 215.708
57900 216.11
58000 216.301
58100 217.284
58200 216.872
58300 217.273
58400 217.893
58500 218.601
58600 219.559
58700 219.314
58800 219.189
58900 220.179
59000 220.55
59100 221.083
59200 221.29
59300 220.541
59400 221.333
59500 221.064
59600 221.088
59700 221.486
59800 221.71
59900 222.3
60000 222.136
60100 222.947
60200 223.482
60300 224.02
60400 223.927
60500 224.545
60600 224.477
60700 224.488
60800 224.666
60900 224.746
61000 225.796
61100 226.318
61200 226.794
61300 227.967
61400 227.356
61500 228.147
61600 228.973
61700 228.6
61800 229.316
61900 230.107
62000 229.919
62100 230.112
62200 230.997
62300 231.157
62400 230.805
62500 231.944
62600 232.592
62700 232.661
62800 232.227
62900 232.942
63000 233.195
63100 233.875
63200 234.819
63300 234.665
63400 234.721
63500 235.104
63600 235.992
63700 236.299
63800 236.281
63900 237.045
64000 237.002
64100 237.726
64200 237.941
64300 238.011
64400 239.496
64500 240.037
64600 240.104
64700 240.223
64800 240.965
64900 241.293
65000 241.459
65100 241.491
65200 241.962
65300 242.482
65400 242.826
65500 243.724
65600 244.081
65700 244.175
65800 245.049
65900 244.578
66000 244.797
66100 245.416
66200 246.088
66300 246.241
66400 246.882
66500 247.024
66600 247.088
66700 247.714
66800 247.819
66900 248.039
67000 248.069
67100 248.405
67200 248.859
67300 249.382
67400 250.246
67500 250.125
67600 250.489
67700 250.488
67800 250.73
67900 250.527
68000 250.578
68100 250.518
68200 250.271
68300 250.596
68400 251.648
68500 252.298
68600 252.795
68700 253.519
68800 253.462
68900 253.308
69000 253.396
69100 254.566
69200 254.442
69300 255.903
69400 256.063
69500 256.33
69600 256.368
69700 256.68
69800 257.273
69900 258.415
70000 258.986
70100 259.326
70200 259.126
70300 259.815
70400 259.004
70500 259.618
70600 260.181
70700 259.952
70800 260.614
70900 260.553
71000 262.037
71100 262.492
71200 262.979
71300 263.398
71400 264.502
71500 265.63
71600 265.643
71700 265.53
71800 265.472
71900 265.813
72000 266.093
72100 267.313
72200 268.008
72300 267.565
72400 268.237
72500 268.788
72600 269.264
72700 269.778
72800 271.341
72900 272.234
73000 272.23
73100 272.386
73200 273.197
73300 273.583
73400 273.924
73500 273.766
73600 274.526
73700 275.05
73800 275.804
73900 276.751
74000 277.776
74100 277.733
74200 277.75
74300 277.975
74400 278.986
74500 279.209
74600 279.682
74700 279.598
74800 279.618
74900 279.873
75000 280.921
75100 279.743
75200 280.006
75300 280.209
75400 279.707
75500 280.312
75600 280.688
75700 280.893
75800 281.769
75900 281.729
76000 282.292
76100 282.485
76200 283.341
76300 284.616
76400 283.883
76500 286.09
76600 285.807
76700 286.383
76800 285.96
76900 287.265
77000 288.107
77100 288.267
77200 288.76
77300 289.145
77400 288.795
77500 288.867
77600 289.354
77700 288.947
77800 289.656
77900 289.678
78000 290.054
78100 290.408
78200 290.061
78300 290.011
78400 290.91
78500 291.449
78600 291.987
78700 292.134
78800 293.793
78900 294.351
79000 294.272
79100 294.24
79200 294.364
79300 294.423
79400 295.471
79500 294.421
79600 295.283
79700 295.236
79800 294.848
79900 296.263
80000 297.391
