# Time-averaged data for fix all_msd
# TimeStep c_msd1[4]
0 2.04939e-29
100 0.444143
200 0.716637
300 1.03599
400 1.33814
500 1.68498
600 2.05422
700 2.5224
800 2.97085
900 3.53526
1000 4.01086
1100 4.41761
1200 4.80918
1300 5.49595
1400 5.96381
1500 6.50385
1600 6.9788
1700 7.43092
1800 7.91651
1900 8.28597
2000 8.56788
2100 8.93054
2200 9.40189
2300 9.9333
2400 10.3451
2500 10.8088
2600 11.1044
2700 11.3811
2800 11.8496
2900 12.0515
3000 12.2182
3100 12.6174
3200 13.0508
3300 13.2118
3400 13.6097
3500 14.0522
3600 14.2614
3700 14.8737
3800 15.218
3900 15.6875
4000 16.0899
4100 16.2992
4200 16.7553
4300 17.0504
4400 17.57
4500 17.998
4600 18.1849
4700 18.6588
4800 19.1468
4900 19.3714
5000 19.5243
5100 19.9905
5200 20.2496
5300 20.813
5400 20.884
5500 21.1267
5600 21.4875
5700 22.0873
5800 22.5372
5900 23.0693
6000 23.6003
6100 23.9295
6200 24.2019
6300 24.5809
6400 24.7482
6500 25.0914
6600 25.6119
6700 26.1406
6800 26.2057
6900 26.687
7000 27.1355
7100 27.6741
7200 27.6339
7300 28.1757
7400 28.5302
7500 29.2254
7600 29.4794
7700 30.0057
7800 30.3924
7900 30.8852
8000 31.3819
8100 31.7018
8200 31.9066
8300 32.236
8400 32.4825
8500 32.7886
8600 33.2597
8700 34.1379
8800 34.5772
8900 35.276
9000 35.3719
9100 35.5581
9200 35.9218
9300 35.9038
9400 36.3908
9500 36.5216
9600 37.001
9700 37.4358
9800 37.6681
9900 38.3889
10000 38.8516
10100 39.2487
10200 39.4576
10300 39.755
10400 40.2687
10500 40.8617
10600 40.7391
10700 41.5749
10800 41.4993
10900 42.1916
11000 42.5838
11100 42.9658
11200 43.192
11300 43.6274
11400 43.9024
11500 44.4289
11600 45.1246
11700 45.3229
11800 45.3218
11900 45.8007
12000 46.0793
12100 46.3043
12200 46.779
12300 47.1894
12400 47.5474
12500 47.6444
12600 47.6138
12700 48.2472
12800 48.5034
12900 49.1863
13000 49.587
13100 50.093
13200 50.7518
13300 51.6722
13400 52.24
13500 52.4712
13600 52.7148
13700 53.0404
13800 53.2527
13900 53.7956
14000 54.7818
14100 55.013
14200 55.3385
14300 56.0346
14400 56.5302
14500 57.0904
14600 56.9807
14700 57.4364
14800 57.2952
14900 57.6801
15000 58.2277
15100 58.1171
15200 58.663
15300 59.3993
15400 59.5548
15500 59.8452
15600 60.6712
15700 61.067
15800 61.2752
15900 62.2855
16000 62.626
16100 62.8175
16200 63.0842
16300 63.5174
16400 64.0379
16500 64.097
16600 63.9737
16700 64.6284
16800 65.039
16900 65.4184
17000 65.7036
17100 66.1113
17200 66.8782
17300 66.8915
17400 67.2336
17500 67.8275
17600 68.547
17700 69.2142
17800 69.1946
17900 69.3102
18000 69.7906
18100 70.0968
18200 71.1138
18300 71.6112
18400 72.2089
18500 72.1659
18600 72.7557
18700 72.8862
18800 73.6854
18900 74.7301
19000 74.6627
19100 74.7003
19200 75.2733
19300 75.827
19400 75.8444
19500 76.4315
19600 77.0919
19700 76.9011
19800 77.3411
19900 77.4372
20000 77.7761
20100 77.9238
20200 78.6983
20300 79.0094
20400 79.4305
20500 79.692
20600 79.9119
20700 80.5227
20800 80.7821
20900 81.0804
21000 81.8096
21100 81.8017
21200 82.0701
21300 82.6904
21400 83.5094
21500 84.0533
21600 84.0234
21700 84.2041
21800 84.754
21900 85.0239
22000 85.6681
22100 85.9274
22200 85.9219
22300 86.2075
22400 86.3224
22500 87.1514
22600 87.2213
22700 87.6287
22800 88.2316
22900 88.1858
23000 89.3696
23100 89.954
23200 90.4436
23300 90.9072
23400 91.2222
23500 91.5064
23600 91.7308
23700 92.6968
23800 92.8759
23900 93.313
24000 94.0957
24100 94.5558
24200 95.0253
24300 95.3771
24400 95.653
24500 95.5262
24600 95.9712
24700 96.5888
24800 97.2078
24900 97.7771
25000 98.1553
25100 98.3468
25200 99.0343
25300 99.6509
25400 99.8045
25500 99.8442
25600 100.102
25700 100.708
25800 100.698
25900 101.377
26000 102.347
26100 102.563
26200 102.905
26300 103.056
26400 103.879
26500 104.135
26600 104.881
26700 104.827
26800 105.468
26900 105.744
27000 106.326
27100 106.255
27200 107.259
27300 107.097
27400 107.707
27500 108.53
27600 109.308
27700 109.947
27800 110.181
27900 109.883
28000 110.43
28100 110.175
28200 110.609
28300 110.893
28400 111.174
28500 111.936
28600 112.191
28700 113.007
28800 112.811
28900 112.959
29000 113.368
29100 114.267
29200 114.456
29300 115.976
29400 116.065
29500 116.51
29600 117.309
29700 117.57
29800 117.258
29900 118.132
30000 118.3
30100 118.487
30200 118.847
30300 119.234
30400 119.525
30500 119.962
30600 120.71
30700 120.673
30800 120.575
30900 121.124
31000 120.808
31100 121.514
31200 121.922
31300 122.229
31400 122.245
31500 122.542
31600 122.97
31700 123.842
31800 123.644
31900 123.496
32000 124.301
32100 124.3
32200 124.854
32300 125.024
32400 125.203
32500 125.717
32600 125.992
32700 126.01
32800 126.513
32900 126.768
33000 126.909
33100 127.243
33200 127.566
33300 128.067
33400 128.907
33500 129.075
33600 129.638
33700 129.787
33800 130.137
33900 130.721
34000 130.689
34100 130.543
34200 130.759
34300 131.205
34400 131.458
34500 132.017
34600 132.225
34700 133.194
34800 132.487
34900 133.168
35000 133.425
35100 133.873
35200 134.457
35300 134.724
35400 134.927
35500 135.643
35600 135.889
35700 135.688
35800 135.644
35900 136.27
36000 136.733
36100 137.444
36200 137.566
36300 137.692
36400 138.256
36500 138.607
36600 139.032
36700 139.719
36800 139.235
36900 140.094
37000 140.334
37100 140.032
37200 140.55
37300 141.075
37400 140.933
37500 141.365
37600 141.138
37700 142.167
37800 142.051
37900 143.322
38000 143.332
38100 143.237
38200 143.974
38300 143.924
38400 144.013
38500 144.448
38600 144.459
38700 145.02
38800 145.218
38900 145.969
39000 145.989
39100 146.129
39200 146.392
39300 147.299
39400 146.957
39500 147.593
39600 147.664
39700 148.331
39800 148.061
39900 148.51
40000 148.386
40100 149.029
40200 149.379
40300 149.553
40400 150.189
40500 150.383
40600 150.59
40700 150.471
40800 152.068
40900 152.096
41000 151.793
41100 152.3
41200 152.311
41300 152.166
41400 152.886
41500 153.317
41600 154.392
41700 155.139
41800 154.675
41900 154.747
42000 155.484
42100 155.854
42200 157.134
42300 157.58
42400 157.538
42500 157.663
42600 157.626
42700 158.015
42800 158.995
42900 159.268
43000 159.371
43100 160.078
43200 160.909
43300 161.991
43400 162.39
43500 162.309
43600 162.201
43700 162.069
43800 163.381
43900 163.428
44000 164.685
44100 165.005
44200 164.949
44300 164.723
44400 164.991
44500 165.045
44600 165.704
44700 166.367
44800 166.971
44900 166.518
45000 167.147
45100 167.582
45200 167.492
45300 167.921
45400 168.655
