# Time-averaged data for fix all_msd
# TimeStep c_msd1[4]
0 2.04939e-29
100 0.410344
200 0.68453
300 0.956086
400 1.25361
500 1.5658
600 2.00181
700 2.3847
800 2.73665
900 3.14371
1000 3.59503
1100 4.11692
1200 4.53733
1300 5.08095
1400 5.55298
1500 5.85862
1600 6.34268
1700 6.73603
1800 7.00377
1900 7.44349
2000 7.83091
2100 8.2196
2200 8.77518
2300 9.26561
2400 9.39277
2500 9.87406
2600 10.3315
2700 10.7945
2800 11.1858
2900 11.6561
3000 11.8695
3100 12.1839
3200 12.8799
3300 13.2552
3400 13.6114
3500 13.9629
3600 14.4252
3700 14.8993
3800 15.1982
3900 15.8059
4000 16.4194
4100 16.6924
4200 17.2279
4300 17.5194
4400 17.983
4500 18.3154
4600 18.6111
4700 18.9739
4800 19.3772
4900 19.9265
5000 20.0927
5100 20.4813
5200 21.0657
5300 21.1599
5400 21.4837
5500 21.8087
5600 22.2224
5700 22.6568
5800 23.0396
5900 23.3321
6000 23.9023
6100 24.0373
6200 24.605
6300 25.0872
6400 25.2263
6500 25.6682
6600 25.9958
6700 26.3387
6800 26.3852
6900 26.5612
7000 27.0176
7100 27.4408
7200 27.8932
7300 28.3869
7400 28.516
7500 29.3729
7600 29.6539
7700 30.2351
7800 30.7922
7900 31.1416
8000 31.6105
8100 31.999
8200 31.9972
8300 32.7138
8400 33.0648
8500 33.454
8600 34.057
8700 34.2091
8800 34.7342
8900 35.1014
9000 35.6431
9100 35.5606
9200 36.0068
9300 36.1486
9400 36.7768
9500 36.9217
9600 37.5598
9700 37.7235
9800 38.1718
9900 38.5825
10000 38.7604
10100 39.1552
10200 39.4059
10300 39.6985
10400 40.2087
10500 40.6108
10600 40.9912
10700 41.0439
10800 41.1359
10900 41.7839
11000 42.2097
11100 42.8197
11200 43.3218
11300 43.67
11400 44.033
11500 44.5862
11600 44.5904
11700 45.3045
11800 45.2352
11900 45.4217
12000 46.0212
12100 46.2271
12200 46.3335
12300 47.1748
12400 47.6193
12500 47.8468
12600 48.7075
12700 48.7272
12800 48.932
12900 49.0416
13000 49.9656
13100 50.3873
13200 50.8022
13300 51.6416
13400 51.7233
13500 51.7291
13600 52.1791
13700 52.4276
13800 52.749
13900 53.174
14000 53.6155
14100 54.0246
14200 54.2137
14300 54.7213
14400 55.056
14500 55.5353
14600 56.2795
14700 56.5978
14800 57.0685
14900 57.7222
15000 58.1826
15100 58.6627
15200 58.9262
15300 59.4517
15400 59.9247
15500 59.8485
15600 59.9978
15700 60.4336
15800 61.0254
15900 61.2234
16000 61.4183
16100 61.5513
16200 62.0138
16300 62.1967
16400 62.6182
16500 62.9512
16600 63.354
16700 63.4979
16800 63.8188
16900 64.0617
17000 64.0001
17100 64.7363
17200 65.0968
17300 65.1741
17400 65.6175
17500 65.7414
17600 65.8286
17700 66.0586
17800 66.4463
17900 66.6424
18000 66.7816
18100 66.959
18200 67.1584
18300 67.0903
18400 67.2053
18500 68.1082
18600 68.489
18700 68.6475
18800 69.4201
18900 69.5907
19000 70.2273
19100 70.5373
19200 71.1457
19300 71.3761
19400 71.5635
19500 72.2323
19600 72.815
19700 72.8881
19800 73.4255
19900 73.572
20000 74.2703
20100 74.4755
20200 75.1884
20300 75.8933
20400 75.8213
20500 76.2619
20600 76.8272
20700 76.6643
20800 77.3884
20900 77.9831
21000 78.3725
21100 78.5176
21200 79.1912
21300 79.2301
21400 79.4452
21500 80.0721
21600 80.3683
21700 80.9631
21800 81.3427
21900 81.5673
22000 81.8314
22100 82.377
22200 82.9466
22300 83.5189
22400 84.0765
22500 83.631
22600 84.0133
22700 84.7761
22800 85.0171
22900 84.9282
23000 85.1206
23100 85.1413
23200 85.4124
23300 85.4047
23400 85.1376
23500 85.7684
23600 86.0555
23700 86.552
23800 87.2527
23900 87.5855
24000 88.1485
24100 88.4575
24200 88.7393
24300 89.88
24400 90.0243
24500 90.2034
24600 90.5566
24700 91.4903
24800 91.5037
24900 91.313
25000 91.8084
25100 91.9922
25200 92.5597
25300 93.2853
25400 93.7123
25500 94.0451
25600 94.4862
25700 94.8209
25800 95.3119
25900 95.6339
26000 95.6886
26100 96.6456
26200 97.012
26300 97.5483
26400 97.5963
26500 98.021
26600 98.2384
26700 98.745
26800 99.4096
26900 99.8983
27000 100.544
27100 100.548
27200 100.936
27300 101.43
27400 101.624
27500 101.966
27600 102.045
27700 102.53
27800 102.644
27900 103.494
28000 103.721
28100 104.203
28200 103.623
28300 105.012
28400 105.607
28500 105.627
28600 106.013
28700 106.045
28800 106.929
28900 107.788
29000 107.969
29100 108.243
29200 108.544
29300 108.816
29400 109.239
29500 109.755
29600 110.4
29700 110.306
29800 110.786
29900 110.93
30000 111.34
30100 112.225
30200 112.612
30300 113.512
30400 114.21
30500 114.168
30600 114.769
30700 115.264
30800 115.028
30900 115.669
31000 115.941
31100 116.689
31200 117.064
31300 117.23
31400 118.296
31500 118.34
31600 118.742
31700 118.898
31800 119.558
31900 120.182
32000 121.118
32100 121.319
32200 120.848
32300 121.336
32400 121.423
