# Time-averaged data for fix all_msd
# TimeStep c_msd1[4]
0 2.04939e-29
100 0.252534
200 0.405632
300 0.608251
400 0.799188
500 0.928837
600 1.20032
700 1.39158
800 1.62245
900 1.87164
1000 2.0514
1100 2.2317
1200 2.42383
1300 2.61178
1400 2.84296
1500 2.95224
1600 3.15805
1700 3.22336
1800 3.29879
1900 3.48641
2000 3.65121
2100 3.85448
2200 3.958
2300 4.08667
2400 4.20577
2500 4.31088
2600 4.38694
2700 4.45279
2800 4.62426
2900 4.71899
3000 4.8267
3100 4.89379
3200 5.10431
3300 5.24985
3400 5.28988
3500 5.34475
3600 5.45377
3700 5.4965
3800 5.69607
3900 5.76629
4000 5.85799
4100 5.93276
4200 6.03888
4300 6.01042
4400 6.09565
4500 6.16994
4600 6.27555
4700 6.39762
4800 6.55418
4900 6.68216
5000 6.79053
5100 6.88378
5200 6.96417
5300 7.10836
5400 7.09957
5500 7.17032
5600 7.33156
5700 7.43398
5800 7.50974
5900 7.55972
6000 7.75456
6100 7.738
6200 7.85028
6300 7.85805
6400 8.04762
6500 8.01312
6600 8.2341
6700 8.27354
6800 8.21697
6900 8.27891
7000 8.28315
7100 8.39569
7200 8.41372
7300 8.45496
7400 8.51606
7500 8.50048
7600 8.72181
7700 8.74284
7800 8.88348
7900 8.85185
8000 8.8398
8100 8.93444
8200 9.13555
8300 9.31416
8400 9.39359
8500 9.43435
8600 9.36779
8700 9.47707
8800 9.33724
8900 9.50311
9000 9.53199
9100 9.67619
9200 9.746
9300 9.85023
9400 9.79658
9500 9.97093
9600 9.96887
9700 9.99403
9800 10.0139
9900 10.16
10000 10.1383
10100 10.267
10200 10.3569
10300 10.5786
10400 10.5855
10500 10.7062
10600 10.8781
10700 10.857
10800 10.8388
10900 10.8749
11000 10.9308
11100 10.8162
11200 10.8093
11300 10.909
11400 10.9951
11500 11.1356
11600 11.0506
11700 11.1478
11800 11.1791
11900 11.3383
12000 11.3811
12100 11.2085
12200 11.3751
12300 11.4824
12400 11.4947
12500 11.6433
12600 11.6673
12700 11.6399
12800 11.7228
12900 11.9574
13000 12.0085
13100 12.0644
13200 12.2026
13300 12.2485
13400 12.5319
13500 12.4499
13600 12.5106
13700 12.5405
13800 12.5781
13900 12.6301
14000 12.6974
14100 12.6518
14200 12.7554
14300 12.7557
14400 12.7539
14500 12.9797
14600 12.9427
14700 13.0862
14800 13.0353
14900 13.2277
15000 13.3237
15100 13.6498
15200 13.4657
15300 13.4788
15400 13.4756
15500 13.4771
15600 13.5763
15700 13.7897
15800 13.8361
15900 14.0106
16000 13.995
16100 14.2199
16200 14.2931
16300 14.309
16400 14.3751
16500 14.4921
16600 14.5743
16700 14.7315
16800 14.755
16900 14.6076
17000 14.6756
17100 14.8724
17200 15.0239
17300 15.0401
17400 14.9803
17500 15.0381
17600 15.1399
17700 15.104
17800 15.3548
17900 15.4816
18000 15.4955
18100 15.6447
18200 15.6191
18300 15.787
18400 15.9185
18500 15.9757
18600 16.2638
18700 16.2976
18800 16.3442
18900 16.4308
19000 16.4585
19100 16.494
19200 16.4803
19300 16.5211
19400 16.7026
19500 16.7637
19600 16.6346
19700 16.6796
19800 16.7429
19900 16.8517
20000 16.9612
20100 16.8757
20200 16.9622
20300 16.8012
20400 16.9008
20500 16.8676
20600 16.9875
20700 17.1944
20800 17.2369
20900 17.326
21000 17.3317
21100 17.1308
21200 17.3637
21300 17.4394
21400 17.4235
21500 17.6174
21600 17.8044
21700 17.7723
21800 17.8301
21900 17.831
22000 18.0633
22100 18.0464
22200 18.2136
22300 18.2164
22400 18.1594
22500 18.1543
22600 18.1682
22700 18.3903
22800 18.5096
22900 18.5372
23000 18.6991
23100 18.8005
23200 18.72
23300 18.9268
23400 18.8305
23500 18.9364
23600 18.9783
23700 18.9086
23800 19.1511
23900 19.0614
24000 19.061
24100 19.4068
24200 19.2263
24300 19.3485
24400 19.4101
24500 19.3504
24600 19.3589
24700 19.4337
24800 19.4898
24900 19.6006
25000 19.5867
25100 19.9131
25200 19.9044
25300 19.9919
25400 19.9097
25500 20.0862
25600 20.366
25700 20.2475
25800 20.2443
25900 20.5236
26000 20.536
26100 20.5158
26200 20.6111
26300 20.8134
26400 20.8753
26500 20.8525
26600 20.9204
26700 20.9828
26800 21.0597
26900 21.0539
27000 21.0832
27100 21.2208
27200 21.1789
27300 21.4004
27400 21.2256
27500 21.4295
27600 21.2607
27700 21.4009
27800 21.4301
27900 21.5472
28000 21.5815
28100 21.7868
28200 21.824
28300 21.7352
28400 22.0396
28500 22.0337
28600 22.0719
28700 22.1978
28800 22.2214
28900 22.2321
29000 22.0646
29100 22.1224
29200 22.0915
29300 22.1831
29400 22.1982
29500 22.3613
29600 22.4942
29700 22.504
29800 22.485
29900 22.5044
30000 22.4503
30100 22.6544
30200 22.8977
30300 22.6843
30400 22.6732
30500 22.8843
30600 22.8874
30700 22.7138
30800 22.8551
30900 22.7518
31000 23.0109
31100 23.0586
31200 23.0289
31300 22.989
31400 22.9853
31500 23.0643
31600 23.0702
31700 23.2064
31800 23.0776
31900 23.2311
32000 23.3445
32100 23.3754
32200 23.5015
32300 23.5521
