# Time-averaged data for fix all_msd
# TimeStep c_msd1[4]
0 2.04939e-29
100 0.102748
200 0.166037
300 0.20968
400 0.281666
500 0.397532
600 0.46702
700 0.54641
800 0.639891
900 0.749215
1000 0.817105
1100 0.900967
1200 0.965025
1300 1.02216
1400 1.07379
1500 1.12292
1600 1.15492
1700 1.22154
1800 1.23681
1900 1.28359
2000 1.34961
2100 1.38662
2200 1.39689
2300 1.45699
2400 1.45403
2500 1.47723
2600 1.52044
2700 1.55066
2800 1.61257
2900 1.63031
3000 1.62239
3100 1.67594
3200 1.7058
3300 1.72839
3400 1.75063
3500 1.76409
3600 1.83088
3700 1.83521
3800 1.89853
3900 1.88694
4000 1.9527
4100 1.93738
4200 1.88544
4300 1.97884
4400 1.96882
4500 2.0249
4600 2.04251
4700 2.08174
4800 2.13663
4900 2.13324
5000 2.16294
5100 2.1165
5200 2.13456
5300 2.16893
5400 2.17762
5500 2.18642
5600 2.24183
5700 2.27877
5800 2.28919
5900 2.2869
6000 2.26979
6100 2.26102
6200 2.30267
6300 2.26027
6400 2.29699
6500 2.34313
6600 2.37057
6700 2.33673
6800 2.33173
6900 2.38062
7000 2.38652
7100 2.41497
7200 2.38509
7300 2.39921
7400 2.44599
7500 2.45679
7600 2.50685
7700 2.53168
7800 2.57325
7900 2.54418
8000 2.56399
8100 2.57865
8200 2.62601
8300 2.63074
8400 2.64755
8500 2.71168
8600 2.74489
8700 2.72098
8800 2.74797
8900 2.72989
9000 2.73165
9100 2.71866
9200 2.71479
9300 2.74442
9400 2.77868
9500 2.78789
9600 2.72571
9700 2.77867
9800 2.78016
9900 2.79797
10000 2.77634
10100 2.77693
10200 2.80718
10300 2.85263
10400 2.85229
10500 2.83001
10600 2.82855
10700 2.83435
10800 2.83969
10900 2.84943
11000 2.84934
11100 2.88612
11200 2.89594
11300 2.88443
11400 2.88812
11500 2.92549
11600 2.91336
11700 2.96617
11800 2.9707
11900 2.9365
12000 2.92144
12100 3.01981
12200 3.00664
12300 3.01282
12400 2.98797
12500 2.97343
12600 2.96531
12700 2.99472
12800 2.99795
12900 2.97782
13000 2.95656
13100 3.01586
13200 3.0349
13300 3.03215
13400 3.02856
13500 3.04091
13600 3.06148
13700 3.07487
13800 3.10922
13900 3.069
14000 3.06731
14100 3.12255
14200 3.14381
14300 3.08061
14400 3.03301
14500 3.05446
14600 3.02163
14700 3.12561
14800 3.08641
14900 3.10537
15000 3.11771
15100 3.08861
15200 3.12346
15300 3.13196
15400 3.17799
15500 3.15813
15600 3.18526
15700 3.14727
15800 3.18153
15900 3.18349
16000 3.1786
16100 3.19457
16200 3.16941
16300 3.21692
16400 3.1629
16500 3.18991
16600 3.18093
16700 3.23373
16800 3.21133
16900 3.18748
17000 3.20202
17100 3.26945
17200 3.257
17300 3.24849
17400 3.23446
17500 3.23214
17600 3.27866
