# Time-averaged data for fix all_msd
# TimeStep c_msd1[4]
0 2.04939e-29
100 0.303935
200 0.495166
300 0.71306
400 0.978935
500 1.26013
600 1.48285
700 1.7561
800 2.00101
900 2.34186
1000 2.60469
1100 2.82951
1200 2.96244
1300 3.16196
1400 3.34502
1500 3.50166
1600 3.72467
1700 3.99219
1800 4.19268
1900 4.55567
2000 4.65663
2100 4.71473
2200 4.80224
2300 5.05025
2400 5.26326
2500 5.52897
2600 5.6368
2700 5.73364
2800 5.89962
2900 6.01453
3000 6.18905
3100 6.38554
3200 6.65278
3300 6.81639
3400 6.87888
3500 7.02854
3600 7.14563
3700 7.32625
3800 7.52869
3900 7.79169
4000 8.00357
4100 8.31877
4200 8.53518
4300 8.72134
4400 8.78764
4500 8.90673
4600 8.96526
4700 9.04729
4800 9.1933
4900 9.5772
5000 9.62107
5100 9.64708
5200 9.77961
5300 9.85012
5400 9.95472
5500 10.2208
5600 10.3935
5700 10.6952
5800 10.7278
5900 10.8414
6000 11.1307
6100 11.306
6200 11.4915
6300 11.5543
6400 11.6595
6500 11.91
6600 11.8543
6700 12.0686
6800 12.0751
6900 12.3313
7000 12.5787
7100 12.6934
7200 12.8535
7300 12.9052
7400 12.9272
7500 13.1985
7600 13.3896
7700 13.2889
7800 13.5276
7900 13.6877
8000 13.7081
8100 13.932
8200 14.042
8300 14.0448
8400 14.1641
8500 14.3418
8600 14.3794
8700 14.5615
8800 14.6995
8900 14.8827
9000 14.8772
9100 15.0288
9200 15.1973
9300 15.2861
9400 15.38
9500 15.2707
9600 15.5808
9700 15.5495
9800 15.7649
9900 16.0102
10000 16.1501
10100 16.2937
10200 16.4232
10300 16.433
10400 16.6542
10500 16.4407
10600 16.629
10700 16.6585
10800 16.652
10900 16.8898
11000 16.8236
11100 17.1631
11200 17.2798
11300 17.2868
11400 17.3226
11500 17.5253
11600 17.678
11700 17.8045
11800 18.0946
11900 18.0829
12000 18.2526
12100 18.4632
12200 18.5431
12300 18.5493
12400 18.7728
12500 18.7102
12600 18.883
12700 18.9909
12800 18.9874
12900 18.8667
13000 19.0455
13100 19.2756
13200 19.2961
13300 19.3315
13400 19.5245
13500 19.7432
13600 19.9859
13700 20.165
13800 20.0624
13900 20.2851
14000 20.6431
14100 20.7124
14200 20.8175
14300 20.8466
14400 21.0017
14500 21.0797
14600 21.2542
14700 21.4758
14800 21.4658
14900 21.6135
15000 21.7166
15100 21.8333
15200 21.9185
15300 22.0037
15400 22.3787
15500 22.4984
15600 22.715
15700 22.8837
15800 22.9322
15900 23.2052
16000 23.2026
16100 23.2057
16200 23.4382
16300 23.7115
16400 23.6642
16500 23.6889
16600 23.8834
16700 23.9587
16800 24.3318
16900 24.1097
17000 24.2429
17100 24.3931
17200 24.618
17300 24.5722
17400 25.0607
17500 24.8782
17600 24.8953
17700 24.9514
17800 24.8628
17900 25.0488
18000 25.0397
18100 25.4973
18200 25.2886
18300 25.264
18400 25.3996
18500 25.5113
18600 25.7346
18700 25.9329
18800 25.8817
18900 25.8205
19000 26.2281
19100 26.2655
19200 26.3636
19300 26.6087
19400 26.6644
19500 26.8699
19600 26.9831
19700 27.177
19800 27.1891
19900 27.0725
20000 27.3941
20100 27.5535
20200 27.6293
20300 27.6842
20400 27.7512
20500 27.8247
20600 28.0862
20700 28.1557
20800 28.5161
20900 28.7132
21000 28.8087
21100 28.8404
21200 29.0604
21300 29.0055
21400 28.9351
21500 29.0088
21600 29.1842
21700 29.1799
21800 29.2532
21900 29.5079
22000 29.7241
