# Time-averaged data for fix all_msd
# TimeStep c_msd1[4]
0 2.04939e-29
100 0.10251
200 0.156027
300 0.200736
400 0.276791
500 0.326761
600 0.423747
700 0.497654
800 0.637081
900 0.751444
1000 0.81079
1100 0.871064
1200 0.932024
1300 0.956871
1400 1.03993
1500 1.07319
1600 1.12656
1700 1.14172
1800 1.18631
1900 1.26154
2000 1.3263
2100 1.33267
2200 1.33571
2300 1.39422
2400 1.44403
2500 1.44025
2600 1.4556
2700 1.52036
2800 1.53727
2900 1.55505
3000 1.59194
3100 1.63717
3200 1.65449
3300 1.65172
3400 1.72163
3500 1.72422
3600 1.77316
3700 1.80147
3800 1.83473
3900 1.8231
4000 1.86687
4100 1.86038
4200 1.89485
4300 1.86422
4400 1.90705
4500 1.95056
4600 1.97187
4700 1.98668
4800 2.05435
4900 2.08458
5000 2.08243
5100 2.0921
5200 2.04512
5300 2.0736
5400 2.11374
5500 2.08685
5600 2.0961
5700 2.10951
5800 2.1057
5900 2.14936
6000 2.14545
6100 2.09239
6200 2.12107
6300 2.0969
6400 2.12586
6500 2.07809
6600 2.16076
6700 2.13762
6800 2.11087
6900 2.11301
7000 2.19502
7100 2.20166
7200 2.20325
7300 2.23859
7400 2.24836
7500 2.22044
7600 2.26273
7700 2.23433
7800 2.24638
7900 2.23935
8000 2.26706
8100 2.32019
8200 2.28674
8300 2.31787
8400 2.30657
8500 2.30308
8600 2.34899
8700 2.3105
8800 2.34645
8900 2.34928
9000 2.37594
9100 2.36801
9200 2.35572
9300 2.37646
9400 2.38308
9500 2.40103
9600 2.41827
9700 2.39678
9800 2.41937
9900 2.46598
10000 2.47036
10100 2.45962
10200 2.49528
10300 2.50113
10400 2.51903
10500 2.54924
10600 2.5824
10700 2.56808
10800 2.51927
10900 2.62626
11000 2.64744
11100 2.63824
11200 2.65433
11300 2.59641
11400 2.61635
11500 2.58924
11600 2.60959
11700 2.66982
11800 2.67315
11900 2.70687
12000 2.75407
12100 2.77264
