# Time-averaged data for fix all_msd
# TimeStep c_msd1[4]
0 2.04939e-29
100 0.34522
200 0.610923
300 0.882926
400 1.11559
500 1.38679
600 1.69598
700 2.0008
800 2.37009
900 2.74592
1000 3.0051
1100 3.3497
1200 3.66297
1300 3.94763
1400 4.22636
1500 4.64082
1600 4.99311
1700 5.28458
1800 5.45037
1900 5.60326
2000 5.95207
2100 6.30161
2200 6.66158
2300 6.99331
2400 7.26969
2500 7.60271
2600 7.72309
2700 7.98845
2800 8.0491
2900 8.3218
3000 8.639
3100 8.82439
3200 9.20617
3300 9.4271
3400 9.74438
3500 9.95395
3600 10.103
3700 10.4924
3800 10.6797
3900 10.8411
4000 11.018
4100 11.2651
4200 11.3256
4300 11.7256
4400 12.0522
4500 12.3186
4600 12.5414
4700 12.7461
4800 13.2406
4900 13.3633
5000 13.5248
5100 13.8392
5200 13.9572
5300 14.2818
5400 14.4726
5500 14.5938
5600 14.9979
5700 15.0526
5800 15.2826
5900 15.7221
6000 16.1048
6100 16.215
6200 16.2723
6300 16.6412
6400 16.7876
6500 16.976
6600 17.0722
6700 17.4922
6800 17.7863
6900 18.1757
7000 18.1383
7100 18.4998
7200 18.6325
7300 18.7898
7400 18.9667
7500 19.1146
7600 19.4088
7700 19.6117
7800 19.9977
7900 20.323
8000 20.4563
8100 20.7297
8200 20.6466
8300 20.8523
8400 21.1521
8500 21.495
8600 21.165
8700 21.6314
8800 21.7315
8900 21.8111
9000 21.9059
9100 22.1632
9200 22.5443
9300 22.6373
9400 22.8076
9500 23.091
9600 23.4315
9700 23.7
9800 24.0892
9900 24.2298
10000 24.3942
10100 24.6522
10200 24.7053
10300 25.2664
10400 24.9893
10500 25.2125
10600 25.4908
10700 25.5099
10800 25.934
10900 26.1516
11000 26.7664
11100 26.9429
11200 26.8317
11300 27.1749
11400 27.4263
11500 28.1077
11600 28.1835
11700 28.6152
11800 28.7397
11900 29.0217
12000 29.3964
12100 29.7506
12200 29.6559
12300 29.8458
12400 30.1733
12500 30.4984
12600 30.7061
12700 30.6818
