# Time-averaged data for fix all_msd
# TimeStep c_msd1[4]
0 2.04939e-29
100 0.147911
200 0.23178
300 0.311023
400 0.385673
500 0.479864
600 0.606837
700 0.707127
800 0.880588
900 0.993984
1000 1.10924
1100 1.23524
1200 1.34067
1300 1.38102
1400 1.46993
1500 1.5367
1600 1.55043
1700 1.58712
1800 1.67886
1900 1.74774
2000 1.7833
2100 1.84102
2200 1.88933
2300 1.95229
2400 2.01946
2500 2.07668
2600 2.11274
2700 2.1489
2800 2.27221
2900 2.25447
3000 2.33804
3100 2.38007
3200 2.408
3300 2.43517
3400 2.49095
3500 2.60472
3600 2.55792
3700 2.56964
3800 2.58364
3900 2.64158
4000 2.72115
4100 2.79008
4200 2.76157
4300 2.77177
4400 2.83096
4500 2.86238
4600 2.88516
4700 2.88259
4800 2.90931
4900 3.04778
5000 3.06444
5100 3.05985
5200 2.96192
5300 2.98601
5400 3.06427
5500 3.16109
5600 3.11434
5700 3.17353
5800 3.272
5900 3.27184
6000 3.27448
6100 3.3654
6200 3.36387
6300 3.46239
6400 3.45139
6500 3.53039
6600 3.50611
6700 3.62542
6800 3.60886
6900 3.59594
7000 3.66847
7100 3.67214
7200 3.74042
7300 3.73239
7400 3.82464
7500 3.77463
7600 3.89121
7700 3.87961
7800 3.89786
7900 3.99315
8000 3.9827
8100 3.9945
8200 3.95612
8300 3.97722
8400 3.99718
8500 4.09111
8600 4.12382
8700 4.2132
8800 4.114
8900 4.22292
9000 4.32114
9100 4.37053
9200 4.37872
9300 4.32554
9400 4.34312
9500 4.41189
9600 4.37849
9700 4.42808
9800 4.50221
9900 4.46503
10000 4.52292
10100 4.52103
10200 4.49614
10300 4.51385
10400 4.6098
10500 4.63023
10600 4.60018
10700 4.65526
10800 4.59453
10900 4.56906
11000 4.62427
11100 4.70727
11200 4.64817
11300 4.69682
11400 4.70097
11500 4.6703
11600 4.67269
11700 4.82614
11800 4.76937
11900 4.79693
12000 4.88077
12100 4.85738
12200 4.93646
12300 4.86941
12400 4.91607
12500 4.90513
12600 4.90216
12700 5.00662
12800 5.03248
12900 4.95079
13000 5.09008
13100 5.1266
13200 5.1088
13300 5.11523
13400 5.18476
13500 5.20042
13600 5.14675
13700 5.18664
13800 5.18089
13900 5.24991
14000 5.31329
14100 5.20231
14200 5.2178
14300 5.26601
14400 5.26259
14500 5.27291
14600 5.22769
14700 5.25857
14800 5.21618
14900 5.25267
15000 5.32215
15100 5.29632
15200 5.4235
15300 5.37277
15400 5.4035
15500 5.37285
15600 5.4257
15700 5.35695
15800 5.41151
15900 5.45401
16000 5.51596
16100 5.54169
16200 5.47163
16300 5.45189
16400 5.4442
16500 5.54382
16600 5.50823
16700 5.47709
16800 5.58296
16900 5.6024
17000 5.62341
17100 5.70745
17200 5.79484
17300 5.86603
17400 5.77129
17500 5.8131
17600 5.73786
17700 5.85151
17800 5.8849
17900 5.94512
18000 5.90421
18100 5.8231
18200 5.83678
18300 5.84922
18400 5.86554
18500 5.90817
18600 5.89042
18700 5.95496
18800 5.93557
18900 5.98346
19000 5.92873
19100 6.02122
19200 5.96005
19300 6.08378
19400 6.08551
19500 6.0881
19600 6.17262
