# Time-averaged data for fix all_msd
# TimeStep c_msd1[4]
0 2.04939e-29
100 0.537347
200 0.890138
300 1.23358
400 1.5755
500 2.03151
600 2.41693
700 2.93074
800 3.38073
900 3.86966
1000 4.39163
1100 5.00914
1200 5.48127
1300 5.99976
1400 6.64597
1500 7.23635
1600 8.02948
1700 8.43383
1800 8.91813
1900 9.50623
2000 9.98348
2100 10.3223
2200 10.8916
2300 11.189
2400 11.8193
2500 12.1145
2600 12.563
2700 12.882
2800 13.6313
2900 14.1827
3000 14.6771
3100 15.2006
3200 15.8044
3300 16.3051
3400 16.6677
3500 17.0456
3600 17.6124
3700 17.9256
3800 18.5339
3900 19.0262
4000 19.5685
4100 19.7317
4200 20.2774
4300 21.126
4400 21.4121
4500 22.2327
4600 22.7322
4700 23.582
4800 24.041
4900 24.5143
5000 24.9379
5100 25.5361
5200 25.6945
5300 26.1554
5400 26.6551
5500 27.1146
5600 27.332
5700 28.1979
5800 28.6082
5900 29.4075
6000 29.9888
6100 30.6143
6200 31.0971
6300 31.5315
6400 31.9469
6500 32.4629
6600 33.2946
6700 33.8303
6800 34.3622
6900 35.2099
7000 35.8889
7100 36.3481
7200 36.6718
7300 37.1537
7400 37.7282
7500 38.9014
7600 39.6472
7700 40.1697
7800 40.4276
7900 40.9006
8000 41.5983
8100 41.74
8200 42.201
8300 42.7077
8400 43.5134
8500 43.9875
8600 44.9003
8700 45.2178
8800 45.2965
8900 45.8238
9000 46.2656
9100 46.8626
9200 47.3898
9300 48.2061
9400 48.5508
9500 49.2459
9600 49.9286
9700 50.1403
9800 50.8897
9900 51.9336
10000 52.8717
10100 53.3361
10200 53.8669
10300 55.092
10400 55.5753
10500 56.4288
10600 57.1874
10700 57.5029
10800 58.0404
10900 58.6104
11000 59.4957
11100 60.412
11200 61.0343
11300 61.584
11400 62.3527
11500 62.7303
11600 63.0007
11700 63.2277
11800 63.9561
11900 65.1568
12000 65.5574
12100 65.9209
12200 66.2271
12300 67.1743
12400 67.7936
12500 68.6493
12600 69.5378
12700 70.2884
12800 70.7458
12900 71.2947
13000 71.7566
13100 72.4757
13200 73.5257
13300 74.0656
13400 74.9727
13500 75.2149
13600 75.9732
13700 76.0942
13800 77.0899
13900 77.4057
14000 78.169
14100 78.8704
14200 79.6601
14300 80.1114
14400 80.2677
14500 81.041
14600 81.6072
14700 82.1249
14800 82.9048
14900 83.3489
15000 83.7019
15100 84.3544
15200 85.1241
15300 85.6103
15400 86.73
15500 86.3745
15600 86.8181
15700 87.8262
15800 88.6188
15900 88.6544
16000 88.8843
16100 90.0714
16200 90.1882
16300 90.3711
16400 90.7126
16500 91.5777
16600 91.9775
16700 92.1778
16800 92.4799
16900 93.0632
17000 93.6436
17100 94.418
17200 95.4556
17300 96.4053
17400 96.5016
17500 96.9072
17600 97.0401
17700 97.5655
17800 98.7101
17900 99.2391
18000 100.255
18100 100.504
18200 100.385
18300 101.105
18400 101.38
18500 102.371
18600 102.618
18700 103.361
18800 103.963
18900 104.554
19000 105.372
19100 105.18
19200 105.899
19300 106.762
19400 107.396
19500 108.415
19600 108.551
19700 108.635
19800 109.376
19900 109.155
20000 110.043
20100 110.09
20200 110.559
20300 110.545
20400 111.3
20500 111.516
20600 111.902
20700 112.601
20800 112.779
20900 113.271
21000 113.757
21100 114.204
21200 114.833
21300 115.363
21400 116.087
21500 116.494
21600 117.319
