# Time-averaged data for fix all_msd
# TimeStep c_msd1[4]
0 2.04939e-29
100 0.260463
200 0.398763
300 0.583287
400 0.740921
500 0.925163
600 1.10476
700 1.29824
800 1.49904
900 1.7935
1000 1.99136
1100 2.09802
1200 2.19191
1300 2.32126
1400 2.5822
1500 2.78639
1600 2.98738
1700 3.19123
1800 3.26061
1900 3.40597
2000 3.56577
2100 3.60026
2200 3.7669
2300 3.92044
2400 4.01099
2500 4.09211
2600 4.10946
2700 4.2376
2800 4.22857
2900 4.32343
3000 4.4307
3100 4.54968
3200 4.76176
3300 4.88971
3400 5.02229
3500 5.11038
3600 5.14979
3700 5.4252
3800 5.3574
3900 5.56826
4000 5.54055
4100 5.62047
4200 5.73269
4300 5.81602
4400 6.03012
4500 6.11216
4600 6.25032
4700 6.2856
4800 6.3612
4900 6.48783
5000 6.65758
5100 6.76257
5200 6.85419
5300 6.91315
5400 7.1128
5500 7.18909
5600 7.11306
5700 7.07733
5800 7.15757
5900 7.30491
6000 7.51909
6100 7.53587
6200 7.69328
6300 7.78516
6400 7.89677
6500 7.9758
6600 7.99362
6700 8.00612
6800 7.99789
6900 8.12837
7000 8.21679
7100 8.16746
7200 8.38699
7300 8.53916
7400 8.56395
7500 8.6673
7600 8.76535
7700 8.78308
7800 8.81087
7900 8.84354
8000 8.97479
8100 9.04969
8200 9.13927
8300 9.29441
8400 9.26738
8500 9.39822
8600 9.53385
8700 9.72198
8800 9.69919
8900 9.63054
9000 9.77884
9100 9.87741
9200 9.97285
9300 10.0344
9400 10.0424
9500 9.99348
9600 10.019
9700 10.0617
9800 10.2261
9900 10.3967
10000 10.4501
10100 10.4404
10200 10.6715
10300 10.7358
10400 10.7967
10500 10.6525
10600 10.8249
10700 10.8418
10800 10.9897
10900 11.1343
11000 11.0637
11100 11.048
11200 11.1239
11300 11.3357
11400 11.4837
11500 11.5845
11600 11.6644
11700 11.6133
11800 11.5275
11900 11.629
12000 11.6432
12100 11.8322
12200 11.9045
12300 11.982
12400 11.7838
12500 11.7896
12600 11.9011
12700 12.0619
12800 12.0249
12900 12.0608
13000 12.0525
13100 12.2132
13200 12.2475
13300 12.3316
13400 12.3618
13500 12.4679
13600 12.4838
13700 12.6013
13800 12.5405
13900 12.505
14000 12.5312
14100 12.6134
14200 12.7193
14300 12.7437
14400 12.8492
14500 12.8863
14600 13.0436
14700 13.008
14800 13.1029
14900 13.1511
15000 13.1687
15100 13.2709
15200 13.2457
15300 13.3495
15400 13.4813
15500 13.4086
15600 13.5619
15700 13.8196
15800 13.8413
15900 13.9207
16000 13.9272
16100 13.9662
16200 14.0516
16300 14.1074
16400 14.2792
16500 14.337
16600 14.267
16700 14.3404
16800 14.3775
16900 14.3696
17000 14.4343
17100 14.572
17200 14.6739
17300 14.6978
17400 14.6808
17500 14.8888
17600 14.9607
17700 14.9365
17800 14.9819
17900 14.9063
18000 15.0773
18100 15.1427
18200 15.1311
18300 15.1342
18400 15.3732
18500 15.2988
18600 15.4148
18700 15.4774
18800 15.5438
18900 15.6138
19000 15.7566
19100 15.7562
19200 15.8164
19300 15.6973
19400 15.9235
19500 15.9437
19600 16.0985
