# Time-averaged data for fix all_msd
# TimeStep c_msd1[4]
0 2.04939e-29
100 0.292422
200 0.467516
300 0.686124
400 0.883195
500 1.11913
600 1.40068
700 1.64597
800 1.95805
900 2.25938
1000 2.50033
1100 2.70539
1200 2.92821
1300 3.07865
1400 3.34363
1500 3.49149
1600 3.68211
1700 3.99282
1800 4.23809
1900 4.27105
2000 4.49613
2100 4.66699
2200 4.81898
2300 5.07938
2400 5.19928
2500 5.50201
2600 5.685
2700 5.93823
2800 6.10012
2900 6.18632
3000 6.38714
3100 6.56375
3200 6.76376
3300 7.05643
3400 7.18064
3500 7.32512
3600 7.38973
3700 7.72038
3800 7.82889
3900 7.98594
4000 8.208
4100 8.37072
4200 8.52508
4300 8.56468
4400 8.68328
4500 8.8701
4600 9.02642
4700 9.17365
4800 9.2935
4900 9.33489
5000 9.32809
5100 9.43774
5200 9.53938
5300 9.68297
5400 9.84118
5500 9.89879
5600 10.0538
5700 10.0724
5800 10.3251
5900 10.3381
6000 10.7592
6100 10.9693
6200 10.9585
6300 11.1194
6400 11.2785
6500 11.3491
6600 11.6666
6700 11.7627
6800 11.8309
6900 11.8603
7000 12.105
7100 12.2772
7200 12.4418
7300 12.5522
7400 12.6396
7500 12.8778
7600 13.2008
7700 13.4308
7800 13.4469
7900 13.7018
8000 13.6862
8100 13.9231
8200 13.97
8300 14.1441
8400 14.3638
8500 14.4306
8600 14.7016
8700 14.7349
8800 14.9766
8900 14.9002
9000 14.9613
9100 15.1196
9200 15.0794
9300 15.442
9400 15.5545
9500 15.5377
9600 15.7746
9700 15.9161
9800 16.0243
9900 16.1612
10000 16.351
10100 16.445
10200 16.5172
10300 16.7247
10400 16.8388
10500 16.9827
10600 17.0905
10700 17.0847
10800 17.054
10900 17.2668
11000 17.4849
11100 17.76
11200 18.0294
11300 18.0017
11400 18.1033
11500 18.4637
11600 18.441
11700 18.5981
11800 18.5816
11900 18.7755
12000 18.9095
12100 18.7854
12200 18.9634
12300 19.0817
12400 18.9745
12500 19.3565
12600 19.5187
12700 19.7323
12800 19.8338
12900 19.8545
13000 19.9322
13100 19.936
13200 20.2912
13300 20.2074
13400 20.191
13500 20.3968
13600 20.6149
13700 20.7477
13800 21.0477
13900 21.115
14000 21.3892
14100 21.2594
14200 21.6208
14300 21.5917
14400 21.8899
14500 22.0126
14600 22.0306
14700 22.1576
14800 22.1028
14900 22.5452
15000 22.589
15100 22.6901
15200 22.8354
15300 23.2698
15400 23.1571
15500 23.3467
15600 23.7486
15700 23.8913
15800 23.8272
15900 24.2086
16000 24.3991
16100 24.5033
16200 24.5481
16300 24.8686
16400 25.0458
16500 25.1297
16600 25.0709
16700 25.0235
16800 25.1189
16900 25.1514
17000 24.9921
17100 25.5762
17200 25.6355
17300 25.7022
17400 26.0386
17500 26.2168
17600 26.382
17700 26.5146
17800 26.2929
17900 26.5987
18000 26.6356
18100 26.8876
18200 27.1251
18300 27.4037
18400 27.5963
18500 27.4924
18600 27.7009
18700 27.6032
18800 27.9153
18900 28.2275
19000 28.0992
19100 28.3152
19200 28.477
19300 28.6682
19400 28.6706
19500 29.0887
19600 29.0389
19700 29.2725
19800 29.3916
19900 29.6542
20000 29.7857
20100 29.9456
20200 29.8901
20300 29.8964
20400 30.1683
20500 30.3883
20600 30.5379
20700 30.6408
20800 30.701
20900 30.5822
21000 30.9232
21100 31.1809
21200 30.9314
21300 31.1424
21400 31.1682
21500 31.5028
21600 31.7253
21700 31.6907
21800 31.8017
21900 31.9973
22000 32.0433
22100 32.2143
22200 32.4213
22300 32.3985
22400 32.6059
22500 32.8128
22600 32.8084
22700 33.0394
22800 32.827
22900 33.2577
23000 33.515
23100 33.615
23200 33.7556
23300 33.9411
23400 34.2429
23500 34.3457
23600 34.5365
23700 34.2065
23800 34.5431
23900 34.5956
24000 34.5885
24100 34.8779
24200 35.4272
24300 35.5876
24400 35.4192
24500 35.7533
24600 36.0716
24700 36.0892
24800 36.2578
24900 36.2148
25000 36.5657
25100 36.2001
25200 36.3726
25300 36.3469
25400 36.8085
25500 36.7764
25600 36.8436
25700 36.9959
25800 37.2686
25900 37.2569
26000 37.4669
26100 37.6399
26200 38.0941
26300 37.9235
26400 38.0139
26500 38.0674
26600 38.2816
26700 38.4917
26800 38.5069
26900 38.7382
27000 38.7076
27100 38.8842
27200 38.9054
27300 39.3262
27400 39.448
27500 39.5701
27600 39.5422
27700 39.6407
27800 39.8084
27900 39.6779
28000 39.5992
28100 39.9623
28200 40.0861
28300 40.2465
28400 40.7126
28500 40.8534
28600 40.8098
28700 41.1388
28800 41.194
28900 41.5386
29000 41.591
29100 41.8181
29200 41.9169
29300 41.9468
29400 42.1983
29500 42.4539
29600 42.4389
29700 42.1325
29800 42.1279
29900 42.3055
30000 42.3106
30100 42.697
30200 42.4718
30300 42.3578
30400 42.8377
30500 42.972
30600 43.2921
30700 43.4908
30800 43.5849
30900 43.5629
31000 43.7719
31100 44.0879
31200 44.2996
31300 44.4287
31400 44.6228
31500 44.6931
31600 44.9765
31700 45.1144
31800 45.4379
31900 45.1041
32000 44.9788
32100 45.0589
32200 45.3656
32300 45.6495
32400 45.4594
32500 45.9061
32600 46.357
32700 46.3168
32800 46.063
32900 46.3801
33000 46.4725
33100 46.5557
33200 46.6904
33300 47.2222
33400 47.3881
33500 47.378
33600 47.2111
33700 47.4056
33800 47.1995
33900 47.5423
34000 47.9229
34100 47.8601
34200 47.8366
34300 47.8702
34400 47.8319
34500 47.8357
34600 48.0303
34700 47.9291
34800 48.0827
34900 48.3519
35000 48.4088
35100 48.4072
35200 48.75
35300 49.1141
35400 49.2876
35500 49.3433
35600 49.291
35700 49.3379
35800 49.5778
35900 49.6445
36000 49.6312
36100 49.9333
36200 50.323
36300 50.3753
36400 50.3815
36500 50.3731
36600 51.0008
36700 51.1722
36800 51.4841
36900 51.4566
37000 51.3766
37100 51.5569
37200 51.8688
37300 51.8112
37400 51.9638
37500 51.7335
37600 51.8472
37700 51.6495
37800 51.9221
37900 51.9812
38000 52.3022
38100 52.4458
38200 52.6185
38300 53.0256
38400 53.4299
38500 53.6625
38600 53.4097
38700 53.3966
38800 53.6306
38900 53.6262
39000 53.8631
39100 54.1633
39200 54.1813
39300 54.5394
39400 54.6946
39500 54.9107
39600 54.8692
39700 54.6283
39800 55.2467
39900 55.4869
40000 55.5053
40100 55.2488
40200 55.0497
40300 55.3456
40400 55.3609
40500 55.5097
40600 55.7329
40700 55.8843
40800 56.0342
40900 56.4119
41000 56.7481
41100 56.5647
41200 56.8346
41300 57.0826
41400 57.1344
41500 57.394
41600 57.258
41700 57.9155
41800 57.9053
41900 58.1785
42000 58.3028
42100 58.2201
42200 58.385
42300 58.6452
42400 59.0781
42500 59.5054
42600 59.2836
42700 59.2343
42800 59.5
42900 59.2747
43000 59.7295
43100 60.1401
43200 60.2293
43300 60.0819
43400 60.461
43500 60.4826
43600 60.7512
43700 60.7568
43800 60.9272
43900 61.0162
44000 61.0862
44100 61.3009
44200 61.6394
44300 61.6605
44400 61.9859
44500 61.9275
44600 61.9078
44700 62.1129
44800 62.1448
44900 62.2552
45000 62.1006
45100 62.4155
45200 62.3829
45300 62.7841
45400 62.697
45500 62.932
45600 63.1959
45700 63.543
45800 63.3084
45900 63.3958
46000 63.3455
46100 63.6324
46200 63.6026
46300 63.6819
46400 63.71
46500 64.0026
46600 63.8787
46700 64.187
46800 64.5227
46900 64.6907
47000 64.9485
47100 64.7013
47200 64.9731
47300 65.221
47400 65.7674
47500 65.6833
47600 65.7356
47700 65.9921
47800 66.1822
47900 66.5528
48000 66.2719
48100 66.3755
48200 66.3326
